N,integral
956,18.5445
957,19.4918
958,18.2381
959,18.488
960,19.2261
961,19.2289
962,18.3722
963,17.9151
964,19.2654
965,19.5752
966,18.8993
967,18.5993
968,19.3471
969,19.378
970,18.8831
971,18.0917
972,19.2074
973,18.538
974,18.4844
975,18.7173
976,18.355
977,18.4014
978,18.4106
979,18.6865
980,17.8689
981,19.1934
982,19.1212
983,18.3172
984,18.5725
985,19.0813
986,18.9818
987,18.3483
988,18.6933
989,18.3238
990,18.4873
991,18.2718
992,19.2863
993,19.0242
994,18.8307
995,19.2664
996,18.4426
997,18.3799
998,18.3583
999,19.4068
1000,18.8106
1001,17.6716
1002,18.2692
1003,19.1307
1004,18.8056
1005,18.555
1006,18.6066
1007,18.5131
1008,18.421
1009,19.0131
1010,18.7741
1011,19.0473
1012,18.4685
1013,19.2231
1014,18.5914
1015,18.8239
1016,18.3893
1017,18.8332
1018,18.4785
1019,18.5982
1020,19.1328
1021,18.3078
1022,19.2017
1023,18.247
1024,18.746
1025,19.3363
1026,18.182
1027,18.7615
1028,19.5404
1029,18.6597
1030,18.6096
1031,18.89
1032,18.4994
1033,18.9897
1034,18.5298
1035,18.7946
1036,18.7399
1037,19.0635
1038,18.9194
1039,18.2756
1040,18.7373
1041,17.8325
1042,18.9051
1043,19.2552
1044,19.0001
1045,18.4233
1046,18.4847
1047,18.6716
1048,19.2404
1049,18.5682
1050,18.6781
1051,18.6464
1052,18.5833
1053,18.5788
1054,18.5688
1055,19.2833
1056,19.0715
1057,18.3894
1058,18.8038
1059,18.6087
1060,17.7482
1061,19.3296
1062,19.2876
1063,18.9073
1064,18.4419
1065,19.3053
1066,19.3579
1067,18.5928
1068,18.9721
1069,18.5264
1070,19.1182
1071,18.8419
1072,18.77
1073,18.4858
1074,19.5423
1075,18.1122
1076,19.3776
1077,18.8144
1078,18.1333
1079,19.3851
1080,18.9789
1081,18.4547
1082,19.2156
1083,18.0402
1084,19.0691
1085,18.9639
1086,18.5218
1087,18.2367
1088,18.6112
1089,18.6125
1090,19.0712
1091,18.905
1092,19.7008
1093,19.0396
1094,18.8223
1095,18.5194
1096,18.8486
1097,18.8202
1098,18.85
1099,19.161
1100,18.6354
1101,19.1415
1102,18.8154
1103,18.7718
1104,18.5042
1105,18.3926
1106,19.9541
1107,18.2113
1108,18.9529
1109,18.3448
1110,18.4126
1111,18.4978
1112,18.981
1113,19.0109
1114,19.4026
1115,18.6458
1116,18.6448
1117,19.4965
1118,18.2853
1119,19.2272
1120,18.8224
1121,18.6443
1122,18.7741
1123,18.6932
1124,18.9521
1125,19.099
1126,18.7458
1127,18.4739
1128,18.4589
1129,19.4061
1130,18.3718
1131,19.0231
1132,18.8677
1133,19.0163
1134,18.0349
1135,18.6821
1136,18.7011
1137,18.5291
1138,18.844
1139,18.4531
1140,18.7028
1141,18.3782
1142,18.3645
1143,18.3397
1144,18.267
1145,19.0156
1146,18.3888
1147,19.208
1148,18.7425
1149,18.2657
1150,18.9967
1151,19.0884
1152,18.669
1153,19.3147
1154,18.6809
1155,18.4371
1156,18.7971
1157,19.1822
1158,19.3872
1159,19.3718
1160,18.854
1161,18.7074
1162,18.6369
1163,18.8222
1164,18.7307
1165,18.952
1166,19.1279
1167,18.5945
1168,18.9098
1169,18.3379
1170,18.1164
1171,18.1372
1172,18.2726
1173,18.6247
1174,17.8362
1175,18.6977
1176,18.6239
1177,17.9651
1178,18.4945
1179,18.6921
1180,18.4476
1181,19.0838
1182,18.7094
1183,18.6843
1184,18.4499
1185,18.7591
1186,19.2244
1187,18.9937
1188,18.9913
1189,18.3475
1190,19.6379
1191,19.5587
1192,18.7085
1193,19.0731
1194,18.1673
1195,18.5669
1196,18.5361
1197,19.4695
1198,19.1308
1199,18.3028
1200,18.5693
1201,18.5432
1202,18.5965
1203,18.6921
1204,18.9666
1205,18.5835
1206,18.2975
1207,18.9079
1208,19.7067
1209,18.7861
1210,18.9706
1211,18.2755
1212,18.517
1213,18.4851
1214,18.8392
1215,19.0504
1216,18.804
1217,19.1035
1218,18.5335
1219,19.1294
1220,19.0208
1221,18.5894
1222,19.0937
1223,18.397
1224,18.0413
1225,19.5744
1226,18.0646
1227,18.8143
1228,18.6093
1229,18.5251
1230,18.4351
1231,18.6371
1232,18.2178
1233,19.6591
1234,19.2916
1235,18.4461
1236,18.9757
1237,19.432
1238,18.4791
1239,19.1806
1240,18.8706
1241,18.9033
1242,19.4316
1243,18.9058
1244,18.5566
1245,19.046
1246,18.3143
1247,18.6784
1248,18.7111
1249,18.0598
1250,18.888
1251,18.697
1252,18.4065
1253,18.407
1254,19.1602
1255,18.598
1256,18.729
1257,18.3638
1258,18.2531
1259,18.9944
1260,19.1053
1261,18.1206
1262,18.4323
1263,17.9187
1264,18.5029
1265,18.8188
1266,18.9066
1267,19.1928
1268,19.2854
1269,19.119
1270,19.0753
1271,19.1541
1272,19.0303
1273,18.4147
1274,18.5847
1275,18.5764
1276,18.8796
1277,18.4512
1278,18.7404
1279,19.4148
1280,18.6335
1281,18.9727
1282,18.9084
1283,18.7464
1284,18.534
1285,19.049
1286,18.5645
1287,19.4395
1288,18.9482
1289,18.8326
1290,18.1745
1291,18.8364
1292,18.7638
1293,18.7153
1294,18.8793
1295,18.5739
1296,19.0587
1297,19.0168
1298,18.0718
1299,18.5663
1300,18.8078
1301,19.1504
1302,18.4083
1303,18.5556
1304,18.5846
1305,18.5397
1306,18.6208
1307,18.2934
1308,18.5162
1309,18.8867
1310,18.0233
1311,18.8503
1312,18.6308
1313,19.0855
1314,18.6327
1315,18.7475
1316,19.8946
1317,18.9033
1318,18.9546
1319,18.9838
1320,18.4321
1321,18.5465
1322,18.7358
1323,18.4569
1324,19.0423
1325,18.4543
1326,19.3568
1327,18.5826
1328,18.5917
1329,18.8118
1330,18.2819
1331,18.4359
1332,18.582
1333,18.9219
1334,18.756
1335,18.5927
1336,18.3099
1337,19.126
1338,19.0874
1339,18.1755
1340,19.3966
1341,18.7304
1342,18.6346
1343,18.4487
1344,19.229
1345,17.9968
1346,19.4778
1347,18.8516
1348,18.9344
1349,18.4658
1350,18.7491
1351,18.3778
1352,18.7808
1353,18.5981
1354,19.3206
1355,17.9558
1356,18.4381
1357,19.086
1358,19.3396
1359,18.5858
1360,19.1409
1361,18.2155
1362,18.6259
1363,18.3444
1364,18.6608
1365,18.8543
1366,19.0797
1367,19.5836
1368,18.732
1369,18.0591
1370,18.3194
1371,18.9157
1372,19.5746
1373,18.8381
1374,19.2474
1375,18.472
1376,18.8904
1377,18.6329
1378,18.5929
1379,18.7806
1380,18.5969
1381,19.3805
1382,18.5458
1383,18.2461
1384,18.5991
1385,19.0287
1386,18.3172
1387,18.3259
1388,18.9033
1389,19.0028
1390,19.0884
1391,19.2679
1392,19.3219
1393,18.7721
1394,18.8595
1395,18.6948
1396,18.7277
1397,18.7603
1398,18.8761
1399,18.9417
1400,19.1485
1401,18.2314
1402,18.6266
1403,19.4674
1404,18.7557
1405,18.8519
1406,18.7634
1407,18.56
1408,18.6617
1409,18.8684
1410,18.7679
1411,18.3423
1412,18.6392
1413,18.8172
1414,19.2052
1415,18.687
1416,18.7968
1417,18.6811
1418,18.7552
1419,18.7027
1420,18.8656
1421,18.8296
1422,18.9625
1423,18.9148
1424,18.424
1425,18.3482
1426,18.4912
1427,18.7919
1428,18.9863
1429,18.3556
1430,19.026
1431,18.6036
1432,18.8779
1433,18.9792
1434,19.4178
1435,18.4413
1436,18.7977
1437,19.1517
1438,18.6453
1439,19.0941
1440,18.8674
1441,18.4711
1442,18.4484
1443,18.8141
1444,18.4307
1445,19.479
1446,18.5212
1447,18.6946
1448,19.6508
1449,18.5803
1450,18.4562
1451,18.8733
1452,18.1816
1453,18.7151
1454,19.0718
1455,18.3455
1456,19.0027
1457,18.9787
1458,18.529
1459,18.6615
1460,19.092
1461,19.1094
1462,18.9101
1463,18.3784
1464,18.7252
1465,18.8175
1466,18.9696
1467,19.0965
1468,18.9149
1469,18.217
1470,18.7522
1471,19.3531
1472,18.7602
1473,19.0177
1474,18.936
1475,18.4463
1476,18.164
1477,17.9805
1478,18.5442
1479,19.5056
1480,19.362
1481,18.8585
1482,18.3854
1483,19.2711
1484,19.0525
1485,18.885
1486,18.3657
1487,18.4913
1488,18.9915
1489,18.9927
1490,18.3863
1491,18.5402
1492,18.8057
1493,18.7105
1494,18.4091
1495,18.912
1496,18.2919
1497,19.1323
1498,18.3593
1499,18.7659
1500,18.7142
1501,18.6419
1502,18.6894
1503,18.3946
1504,19.0344
1505,18.9057
1506,18.9878
1507,18.5819
1508,18.6196
1509,18.9931
1510,18.3387
1511,19.0119
1512,18.3785
1513,18.6656
1514,18.6169
1515,18.3127
1516,19.1399
1517,18.8648
1518,18.5349
1519,19.0482
1520,18.821
1521,19.2928
1522,17.6176
1523,18.9684
1524,18.8375
1525,18.6564
1526,19.087
1527,18.2252
1528,18.1165
1529,18.7276
1530,18.2436
1531,18.5316
1532,18.3
1533,19.2753
1534,19.117
1535,18.7587
1536,18.8626
1537,18.4141
1538,18.3202
1539,18.2871
1540,18.3324
1541,19.4848
1542,18.6766
1543,18.6532
1544,18.5059
1545,19.0631
1546,18.4371
1547,19.1446
1548,18.6167
1549,18.8017
1550,18.8468
1551,18.4947
1552,18.6233
1553,19.1334
1554,18.359
1555,18.4086
1556,18.7529
1557,18.4275
1558,18.573
1559,18.6396
1560,18.8999
1561,19.5383
1562,18.8308
1563,18.4077
1564,19.6099
1565,19.5104
1566,18.4756
1567,18.8822
1568,18.5923
1569,18.7475
1570,18.9889
1571,18.6671
1572,18.955
1573,19.4637
1574,19.2928
1575,18.8874
1576,18.3019
1577,18.6314
1578,18.4387
1579,19.1793
1580,18.4102
1581,18.6495
1582,18.8452
1583,18.254
1584,19.3551
1585,18.8387
1586,18.6346
1587,18.3865
1588,19.37
1589,19.1881
1590,18.4172
1591,18.6074
1592,18.6348
1593,19.1289
1594,18.5954
1595,18.6696
1596,18.8177
1597,19.2187
1598,18.7165
1599,18.8396
1600,19.2316
1601,18.0948
1602,18.7441
1603,18.8563
1604,18.6356
1605,18.899
1606,18.704
1607,18.3676
1608,18.5639
1609,18.865
1610,19.1719
1611,18.7627
1612,19.0652
1613,19.0795
1614,18.512
1615,18.3881
1616,18.748
1617,18.8194
1618,18.8712
1619,18.4714
1620,19.4304
1621,19.105
1622,18.8219
1623,19.2174
1624,19.3474
1625,18.7942
1626,19.0064
1627,18.4876
1628,18.6192
1629,18.4631
1630,18.5855
1631,18.7854
1632,18.2963
1633,19.7881
1634,18.3499
1635,18.6046
1636,19.0697
1637,18.3327
1638,18.9211
1639,19.0003
1640,18.4289
1641,18.4871
1642,19.0045
1643,18.8038
1644,18.4239
1645,18.5773
1646,19.2673
1647,18.9796
1648,18.6938
1649,19.5905
1650,18.6236
1651,19.1009
1652,18.8412
1653,18.7146
1654,18.7001
1655,18.2413
1656,18.5071
1657,19.0307
1658,18.9349
1659,18.9366
1660,18.321
1661,18.8097
1662,18.391
1663,18.964
1664,18.5276
1665,18.7651
1666,18.3583
1667,18.5535
1668,18.6466
1669,19.3021
1670,19.5534
1671,18.1854
1672,18.736
1673,19.4839
1674,18.7966
1675,19.2791
1676,18.0298
1677,18.9391
1678,18.2126
1679,18.1036
1680,19.1551
1681,18.0455
1682,18.607
1683,18.7294
1684,18.7546
1685,18.8529
1686,18.983
1687,18.922
1688,18.9146
1689,18.7996
1690,18.8708
1691,19.2594
1692,19.1994
1693,19.1273
1694,18.5873
1695,18.7612
1696,18.3326
1697,18.7561
1698,18.5953
1699,18.0581
1700,18.4623
1701,18.7836
1702,18.7504
1703,18.7268
1704,18.0985
1705,18.4011
