N,relError
651,0.0349168
652,0.0175356
653,0.0379774
654,0.0377026
655,0.00685227
656,0.0262406
657,0.044349
658,0.0364163
659,0.00588364
660,0.00641578
661,0.00678803
662,0.00767836
663,0.0280541
664,0.0168119
665,0.00692191
666,0.000768064
667,0.000914677
668,0.0522717
669,0.026293
670,0.0256153
671,0.0169445
672,0.00263762
673,0.0197092
674,0.0109142
675,0.0313872
676,0.0118554
677,0.0335482
678,0.000463262
679,0.0356143
680,0.00752763
681,0.0175065
682,0.0123625
683,0.0117509
684,0.0343623
685,0.021649
686,0.0246994
687,0.013518
688,0.00825769
689,0.0194483
690,0.0042566
691,0.000819971
692,0.0118829
693,0.00368248
694,0.00121461
695,0.00824088
696,0.0596696
697,0.00704359
698,0.0267825
699,0.0571666
700,0.0369545
701,0.00619931
702,0.0288811
703,0.0102576
704,0.0254167
705,0.0175395
706,0.0861297
707,0.0295696
708,0.0266758
709,0.0481057
710,0.00774254
711,0.0121544
712,0.033151
713,0.00556427
714,0.00601698
715,0.00890201
716,0.0311871
717,0.0329914
718,0.00982304
719,0.0094833
720,0.0420964
721,0.0179706
722,0.00847286
723,0.00546039
724,0.000568987
725,0.0388727
726,0.00367664
727,0.00143762
728,0.0576707
729,0.00733073
730,0.0116644
731,0.0261855
732,0.0115178
733,0.00702424
734,0.0206656
735,0.00286893
736,0.000324947
737,0.0100085
738,0.0136455
739,0.0398778
740,0.0243084
741,0.00960021
742,0.0143319
743,0.0120723
744,0.0444645
745,0.000815079
746,0.0110846
747,0.00766865
748,0.00387033
749,0.01031
750,0.0103339
751,0.000307652
752,0.0103905
753,0.0100555
754,0.0207008
755,0.0364389
756,0.0461518
757,0.0634632
758,0.00404536
759,0.0106051
760,0.0338918
761,0.0297828
762,0.0335115
763,0.0442211
764,0.0037574
765,0.0153212
766,0.0198385
767,0.0418633
768,0.0256646
769,0.0124286
770,0.00424812
771,0.0338256
772,0.0067386
773,0.023986
774,0.0264765
775,0.00380314
776,0.0470239
777,0.0433359
778,0.0144596
779,0.0133306
780,0.027491
781,0.0349093
782,0.00502161
783,0.0256079
784,0.0240877
785,0.00326566
786,0.0043024
787,0.00318068
788,0.00425077
789,0.0086158
790,0.0335255
791,0.016268
792,0.00397884
793,0.0416217
794,0.00262246
795,0.029011
796,0.0196352
797,0.00184875
798,0.015339
799,0.00542056
800,0.00907917
801,0.0316151
802,0.0303206
803,0.0069537
804,0.00604923
805,0.043587
806,0.00717315
807,0.0357456
808,0.00545171
809,0.0154609
810,0.00328097
811,0.0204149
812,0.00779316
813,0.00453017
814,0.0227376
815,0.0152549
816,0.0141523
817,0.0213063
818,0.0182543
819,0.00277697
820,0.00438693
821,0.0168867
822,0.0232576
823,0.0216134
824,0.0238401
825,0.0021198
826,0.00210175
827,0.0372944
828,0.0152145
829,0.0158093
830,0.0602532
831,0.0224759
832,0.0107083
833,0.00435623
834,0.012156
835,0.0296278
836,0.00573046
837,0.0489531
838,0.0270059
839,0.0230322
840,0.000298836
841,0.00704249
842,0.0331409
843,0.0279885
844,0.0293807
845,0.00125112
846,0.0131957
847,0.00919947
848,0.00846739
849,0.00312388
850,0.0072301
851,0.0345122
852,0.00635281
853,0.0137819
854,0.0101778
855,0.00959219
856,0.00362219
857,0.00143495
858,0.0223927
859,0.00828227
860,0.0331218
861,0.0328515
862,0.0132976
863,0.0119177
864,0.0412794
865,0.0411894
866,0.000512574
867,0.0153411
868,0.0103579
869,0.0237574
870,0.0277344
871,0.00392804
872,0.0011826
873,0.0112908
874,0.0125842
875,0.0190794
876,0.00917319
877,0.0250592
878,0.00920741
879,0.0275956
880,0.0210752
881,0.0114816
882,0.0233733
883,0.0575094
884,0.0276288
885,0.00733575
886,0.0374117
887,0.01345
888,0.0327287
889,0.0286998
890,0.00384757
891,0.00108261
892,0.0032638
893,0.0409898
894,0.000513343
895,0.00986842
896,0.013902
897,0.0112363
898,0.00358966
899,0.018558
900,0.0116892
901,0.0364539
902,0.013659
903,0.022397
904,0.00179443
905,0.0279763
906,0.0045178
907,0.00382878
908,0.0156977
909,0.0116228
910,0.00828366
911,0.0206043
912,0.018994
913,0.000611441
914,0.015942
915,0.0333884
916,0.0239208
917,0.0114745
918,0.00110728
919,0.0422091
920,0.0232957
921,0.013184
922,0.0095499
923,0.0204844
924,0.000808818
925,0.00548577
926,0.0134783
927,0.0119791
928,0.00296138
929,0.01282
930,0.0251677
931,0.0262739
932,0.000388479
933,0.0230994
934,0.00354061
935,0.0192619
936,0.019477
937,0.0374911
938,0.0206707
939,0.0495214
940,0.0403319
941,0.0201654
942,0.00170055
943,0.0271568
944,0.0165971
945,0.00629992
946,0.0342943
947,0.00590288
948,0.00727217
949,0.0184935
950,0.0485683
951,0.0119536
952,0.0356667
953,0.0220724
954,0.0114451
955,0.0152805
956,0.0109578
957,0.0395601
958,0.0272993
959,0.0139751
960,0.0253923
961,0.0255409
962,0.0201494
963,0.0445279
964,0.0274889
965,0.0440097
966,0.00796178
967,0.00803721
968,0.0318462
969,0.033491
970,0.00709718
971,0.0351091
972,0.0243941
973,0.0113089
974,0.0141652
975,0.00174176
976,0.0210646
977,0.0185916
978,0.0181018
979,0.00338468
980,0.0469947
981,0.0236487
982,0.0197951
983,0.0230846
984,0.0094659
985,0.0176681
986,0.012365
987,0.0214237
988,0.00302521
989,0.0227331
990,0.0140081
991,0.0255034
992,0.0286012
993,0.0146241
994,0.00430629
995,0.0275428
996,0.0163938
997,0.0197405
998,0.0208918
999,0.0350287
1000,0.00323171
1001,0.0575155
1002,0.0256436
1003,0.0203055
1004,0.00296623
1005,0.0104
1006,0.00764545
1007,0.0126322
1008,0.0175474
1009,0.0140346
1010,0.001286
1011,0.0158579
1012,0.0150139
1013,0.0252311
1014,0.00846046
1015,0.00394222
1016,0.0192354
1017,0.00443995
1018,0.0144779
1019,0.00809557
1020,0.0204177
1021,0.0235844
1022,0.0240922
1023,0.0268274
1024,0.000215386
1025,0.0312701
1026,0.0302951
1027,0.000613821
1028,0.0421524
1029,0.00481595
1030,0.00749057
1031,0.00746901
