-0.314969,-0.0163364,0.954663,-0.005098454.8802,-0.00129697,0.851739,0.00781163
-0.331259,-0.0162423,0.949426,-0.005375654.8789,-0.00130885,0.859549,0.00780955
-0.347452,-0.0161436,0.943913,-0.005651054.87758,-0.00132072,0.867358,0.00780745
-0.363545,-0.0160403,0.938125,-0.005924594.87626,-0.00133259,0.875164,0.00780533
-0.379531,-0.0159324,0.932064,-0.006196194.87492,-0.00134445,0.882968,0.00780319
-0.395408,-0.0158199,0.925733,-0.006465774.87357,-0.00135632,0.89077,0.00780103
-0.41117,-0.015703,0.919133,-0.006733264.87221,-0.00136817,0.89857,0.00779885
-0.426812,-0.0155816,0.912267,-0.006998594.87083,-0.00138003,0.906368,0.00779666
-0.442331,-0.0154557,0.905137,-0.007261694.86945,-0.00139188,0.914164,0.00779444
-0.457722,-0.0153255,0.897744,-0.007522484.86805,-0.00140372,0.921957,0.00779221
-0.472981,-0.015191,0.890093,-0.007780894.86664,-0.00141556,0.929748,0.00778996
-0.488103,-0.0150522,0.882183,-0.008036864.86522,-0.0014274,0.937537,0.00778769
-0.503084,-0.0149092,0.87402,-0.008290314.86378,-0.00143924,0.945323,0.00778539
-0.51792,-0.0147619,0.865604,-0.008541184.86234,-0.00145107,0.953108,0.00778309
-0.532606,-0.0146105,0.856938,-0.00878944.86088,-0.00146289,0.96089,0.00778076
-0.54714,-0.0144551,0.848026,-0.009034924.85941,-0.00147471,0.968669,0.00777841
-0.561515,-0.0142955,0.838869,-0.009277654.85793,-0.00148653,0.976446,0.00777605
-0.575729,-0.014132,0.829471,-0.009517544.85644,-0.00149835,0.984221,0.00777366
-0.589778,-0.0139645,0.819835,-0.009754524.85494,-0.00151015,0.991994,0.00777126
-0.603657,-0.0137932,0.809963,-0.009988544.85342,-0.00152196,0.999764,0.00776884
-0.617363,-0.013618,0.799859,-0.01021954.85189,-0.00153376,1.00753,0.0077664
-0.630892,-0.013439,0.789525,-0.01044744.85035,-0.00154556,1.0153,0.00776394
-0.64424,-0.0132563,0.778965,-0.01067224.8488,-0.00155735,1.02306,0.00776146
-0.657403,-0.0130699,0.768182,-0.01089374.84724,-0.00156914,1.03082,0.00775896
-0.670378,-0.0128799,0.757179,-0.0111124.84566,-0.00158092,1.03858,0.00775644
-0.683162,-0.0126863,0.745959,-0.0113274.84407,-0.0015927,1.04633,0.00775391
-0.69575,-0.0124892,0.734526,-0.01153864.84248,-0.00160448,1.05408,0.00775136
-0.708139,-0.0122887,0.722883,-0.01174674.84087,-0.00161625,1.06184,0.00774879
-0.720326,-0.0120848,0.711034,-0.01195144.83924,-0.00162801,1.06958,0.00774619
-0.732308,-0.0118776,0.698982,-0.01215254.83761,-0.00163977,1.07733,0.00774359
-0.74408,-0.0116671,0.68673,-0.01235014.83596,-0.00165153,1.08507,0.00774096
-0.755641,-0.0114534,0.674283,-0.0125444.83431,-0.00166328,1.09281,0.00773831
-0.766986,-0.0112366,0.661643,-0.01273434.83264,-0.00167503,1.10055,0.00773564
-0.778113,-0.0110167,0.648815,-0.01292084.83096,-0.00168677,1.10828,0.00773296
-0.789018,-0.0107938,0.635803,-0.01310354.82926,-0.00169851,1.11601,0.00773026
-0.7997,-0.0105679,0.62261,-0.01328244.82756,-0.00171024,1.12374,0.00772754
-0.810153,-0.0103392,0.609239,-0.01345744.82584,-0.00172197,1.13147,0.0077248
-0.820377,-0.0101076,0.595696,-0.01362864.82412,-0.0017337,1.13919,0.00772204
-0.830368,-0.0098733,0.581984,-0.01379574.82238,-0.00174541,1.14691,0.00771926
-0.840123,-0.00963629,0.568106,-0.01395894.82063,-0.00175713,1.15463,0.00771647
-0.849639,-0.00939667,0.554067,-0.0141184.81886,-0.00176884,1.16234,0.00771365
-0.858915,-0.0091545,0.539871,-0.01427314.81709,-0.00178054,1.17006,0.00771082
-0.867948,-0.00890984,0.525522,-0.0144244.8153,-0.00179224,1.17777,0.00770797
-0.876734,-0.00866277,0.511025,-0.01457084.8135,-0.00180394,1.18547,0.0077051
-0.885272,-0.00841336,0.496382,-0.01471344.81169,-0.00181562,1.19318,0.00770221
-0.89356,-0.00816167,0.481599,-0.01485184.80987,-0.00182731,1.20088,0.0076993
-0.901595,-0.00790777,0.46668,-0.01498594.80804,-0.00183899,1.20857,0.00769637
-0.909375,-0.00765174,0.451629,-0.01511574.80619,-0.00185066,1.21627,0.00769343
-0.916898,-0.00739364,0.43645,-0.01524134.80434,-0.00186233,1.22396,0.00769047
-0.924161,-0.00713355,0.421148,-0.01536244.80247,-0.00187399,1.23165,0.00768749
-0.931164,-0.00687154,0.405727,-0.01547924.80059,-0.00188565,1.23934,0.00768449
-0.937904,-0.00660768,0.390191,-0.01559154.7987,-0.00189731,1.24702,0.00768147
-0.944379,-0.00634204,0.374545,-0.01569954.79679,-0.00190895,1.2547,0.00767843
